,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4714,"Berwyn, IL",-87.7936685,55600.6,7.95669103864,41.8505874,51.2050631794,5,8.9976275504e-05,8.99270871178e-05,2.82076071985,7.15577131967,0.00948558250737,0.0448101093762,2.07401321477,3.93583841738,-9.31596452789
4715,"Cottonwood Heights, UT",-111.8162931,33433.0,17.8396846741,40.6183158,22.8763897171,3,8.97317022104e-05,8.97317022104e-05,4.22370508844,4.78292689857,0.00947268189112,0.0447694716233,2.88142545178,3.13010536198,-9.31868642647
4716,"Cordele, GA",-83.7379487,11147.0,17.8138298843,31.8315661,43.414535271,1,8.97102359379e-05,8.97102359379e-05,4.22064330219,6.58897072926,0.00947154876131,0.044765901312,2.87997511541,3.77079429911,-9.31892568239
4717,"Reedley, CA",-119.450270002,22475.0,31.1106103473,36.5969275,31.0701250416,2,8.95114016457e-05,8.89877641824e-05,5.5776886205,5.57405822015,0.00946104654072,0.0447328037121,3.43754892972,3.43624674791,-9.32114454811
4718,"Macedonia, OH",-81.5084499,11188.0,19.6602114517,41.3136664,41.1624017065,1,8.93814801573e-05,8.93814801573e-05,4.43398369998,6.41579314711,0.00945417792076,0.0447111507293,2.97859687009,3.71752525976,-9.32259705432
4719,"Upper Arlington, OH",-83.0624078,33771.0,9.52676697807,39.9945084,14.4788130417,3,8.88336146398e-05,8.88336146398e-05,3.0865461244,3.80510355203,0.00942515860025,0.0446196108198,2.25410541332,2.67268641134,-9.32874543635
4720,"West Point, MS",-88.6503254,11307.0,18.3234883188,33.6076186,19.5349297403,1,8.84407888918e-05,8.84407888918e-05,4.28059438849,4.4198336779,0.00940429629966,0.0445537437422,2.90818375154,2.97220413189,-9.33317728194
4721,"Denison, TX",-96.5946171,22682.0,63.6002148291,33.7499047,98.887059645,2,8.81756458866e-05,8.81756458866e-05,7.97497428391,9.9441972851,0.00939018880996,0.0445091755496,4.15261684816,4.59397838725,-9.33617975682
4722,"Suamico, WI",-88.0714557,11346.0,26.633760069,44.7209919,173.024628775,1,8.81367882954e-05,8.81367882954e-05,5.16079064379,13.1538826502,0.00938811952925,0.0445026364293,3.28217958659,5.15343394723,-9.33662053789
4723,"Archdale, NC",-79.9719831,11415.0,20.6049344837,35.914581,106.67342754,1,8.76040297854e-05,8.76040297854e-05,4.53926585294,10.3282828941,0.00935970244107,0.0444127871121,3.02553058515,4.6697720883,-9.34268355896
4724,"Jupiter, FL",-80.0892048343,47242.0,27.8143261526,26.96093665,136.12985601,4,8.71151407169e-05,8.46704203886e-05,5.27392891046,11.6674699918,0.00933354920258,0.0443300152626,3.32555121719,4.91360925378,-9.34827985779
4725,"Dardenne Prairie, MO",-90.7290157,11494.0,13.6805673873,38.7694969,31.7415861623,1,8.70019140421e-05,8.70019140421e-05,3.69872510296,5.63396717796,0.00932748165595,0.0443108011652,2.61597638701,3.45762768746,-9.34958043907
4726,"Westerly, RI",-71.8272871,23000.0,3.68846980613,41.3775987,21.1836741017,2,8.69565217391e-05,8.69565217391e-05,1.92053893637,4.60257255257,0.0093250480824,0.0443030935983,1.30521168536,3.05323079546,-9.35010231435
4727,"Dolton, IL",-87.5976320675,23153.0,13.3986128069,41.66903545,56.8315636699,2,8.63818943549e-05,8.63818943549e-05,3.6604115625,7.53867121381,0.00929418605123,0.0442052897232,2.59515117972,4.0400918698,-9.35673246019
4728,"El Campo, TX",-96.1999623,11602.0,57.1065921542,29.2391389,108.14924896,1,8.61920358559e-05,8.61920358559e-05,7.55689037595,10.3994831102,0.0092839666014,0.0441728797437,4.04491955928,4.68351220795,-9.35893277603
4729,"Wasco, CA",-119.3409457,23404.0,31.3075651198,35.5941238,94.8326975057,2,8.61766562355e-05,8.54554776961e-05,5.59531635565,9.73820812602,0.00928313827514,0.0441702522676,3.44385976546,4.55211426019,-9.3591112263
4730,"Cicero, IL",-87.7539448,81802.1428571,6.63017242926,41.8455877,52.1562804901,7,8.60863729533e-05,8.55723304489e-05,2.57491212069,7.22193052377,0.00927827424435,0.0441548218369,1.89163081129,3.95424460545,-9.36015942905
4731,"Norton Shores, MI",-86.2639461,23260.5,2.08902057414,43.1689044,123.582762408,2,8.60682609726e-05,8.59826744911e-05,1.44534444827,11.1167784186,0.00927729815046,0.0441517249961,0.736695331324,4.81691107258,-9.36036984431
4732,"Holly Hill, FL",-81.0462108313,11659.0,7.14973720934,29.2433795,66.3035685129,1,8.57706492838e-05,8.57706492838e-05,2.67389925191,8.14270032071,0.00926124447814,0.0441007761177,1.96707560209,4.19424371947,-9.36383369293
4733,"Elk City, OK",-99.3817653,11693.0,77.3775568557,35.6328261,108.358467043,1,8.55212520311e-05,8.55212520311e-05,8.79645137858,10.4095373117,0.00924777011128,0.0440579903471,4.34869677544,4.68544487023,-9.36674565114
4734,"East Peoria, IL",-89.5800978,23402.0,9.54692038167,40.666149,9.31032323154,2,8.54627809589e-05,8.54627809589e-05,3.08980911735,3.05128222745,0.00924460821013,0.0440479472089,2.25621862936,2.23112380943,-9.36742958722
4735,"Palmetto Bay, FL",-80.3247748,23410.0,11.209934436,25.6217715,15.6019087326,2,8.54335753951e-05,8.54335753951e-05,3.34812401742,3.94992515532,0.0092430284753,0.0440429290724,2.41680038836,2.74739326142,-9.36777137993
4736,"Malden, MA",-71.066163,58785.4,6.55816678774,42.4250964,17.6974785688,5,8.51001684978e-05,8.5055132737e-05,2.5608917954,4.20683712173,0.0092249752573,0.0439855614639,1.88071111081,2.87342217569,-9.37168154239
4737,"Philadelphia, PA",-75.1635256819,1563316.02273,1.59672177184,39.9526601455,28.2574589037,132,8.48567084224e-05,8.44359029659e-05,1.26361456617,5.31577453469,0.00921177010256,0.0439435758187,0.467952634794,3.34135745473,-9.37454650727
4738,"Munster, IN",-87.5125412,23603.0,3.57830575234,41.5644798,57.42272967,2,8.47349913147e-05,8.47349913147e-05,1.891641021,7.5777786765,0.00920516112378,0.0439225551104,1.27488943486,4.05044021223,-9.37598192102
4739,"Hasbrouck Heights, NJ",-74.0806971,11842.0,1.89518675684,40.8581553,28.0356518105,1,8.44451950684e-05,8.44451950684e-05,1.37665782126,5.2948703299,0.00918940667663,0.043872425761,0.639317386101,3.33347697919,-9.37940781309
